City,Cloudiness,Country,Date,Humidity (%),Latitude,Longitude,Max Temperature,Wind Speed (MPH)
Yerbogachën,90,RU,1584072825,84,61.28,61.28,3.7,7.67
Ponta Delgada,20,PT,1584072825,87,37.73,37.73,57.2,8.05
Venado Tuerto,0,AR,1584072698,91,-33.75,-33.75,71.01,8.55
Kirakira,100,SB,1584072709,84,-10.45,-10.45,79.45,11.03
Souillac,75,MU,1584072826,100,-20.52,-20.52,78.01,6.93
Kapaa,90,US,1584072632,78,22.08,22.08,75.2,12.75
Lavrentiya,100,RU,1584072676,93,65.58,65.58,29.07,32.21
Benguela,100,AO,1584072826,81,-12.58,-12.58,78.82,3.96
Caxito,75,AO,1584072826,88,-8.58,-8.58,80.6,5.82
Kavaratti,40,IN,1584072663,70,10.57,10.57,84.2,4.7
Acapulco de Juárez,75,MX,1584072826,74,16.86,16.86,82.4,3.36
Kiryat Gat,20,IL,1584072826,77,31.61,31.61,59.0,9.17
Esperance,75,AU,1584072658,72,-33.87,-33.87,68.0,12.75
Jamestown,90,US,1584072645,71,42.1,42.1,53.01,14.99
Soto la Marina,100,MX,1584072827,84,23.77,23.77,70.57,16.42
Carnarvon,90,AU,1584072671,34,-24.87,-24.87,93.2,17.22
Hambantota,20,LK,1584072648,79,6.12,6.12,84.2,9.17
Bredasdorp,0,ZA,1584072633,93,-34.53,-34.53,62.6,4.7
Hilo,1,US,1584072550,65,19.73,19.73,77.0,12.75
Boda,100,CF,1584072828,87,4.32,4.32,72.14,4.79
Suvorov,75,RU,1584072828,65,54.12,54.12,41.0,17.9
Saint George,90,US,1584072672,42,37.1,37.1,66.0,11.41
Pacific Grove,90,US,1584072616,93,36.62,36.62,60.01,4.7
Lisala,100,CD,1584072828,99,2.15,2.15,67.82,1.61
Nikolskoye,90,RU,1584072637,96,59.7,59.7,36.0,11.18
San Patricio,100,MX,1584072647,81,19.22,19.22,75.06,2.66
Albany,90,US,1584072420,49,42.6,42.6,48.2,9.17
Yeppoon,90,AU,1584072828,45,-23.13,-23.13,84.2,13.87
Whitecourt,75,CA,1584072829,65,54.15,54.15,8.6,14.99
Fort Nelson,20,CA,1584072660,53,58.81,58.81,-2.2,3.36
Cockburn Town,0,TC,1584072684,78,21.46,21.46,77.02,12.39
Waipawa,0,NZ,1584072829,72,-41.41,-41.41,66.0,12.75
Novyye Burasy,97,RU,1584072829,82,52.13,52.13,36.0,5.99
Liwale,96,TZ,1584072829,98,-9.77,-9.77,68.45,1.28
Boende,100,CD,1584072829,98,-0.22,-0.22,68.77,2.55
Iqaluit,20,CA,1584072653,75,63.75,63.75,-14.01,4.7
Iquitos,75,PE,1584072479,94,-3.75,-3.75,77.0,4.7
Mahébourg,75,MU,1584072653,100,-20.41,-20.41,78.01,6.93
Vanimo,87,PG,1584072667,78,-2.67,-2.67,83.03,11.77
Vila Velha,90,BR,1584072651,100,-20.33,-20.33,73.4,4.7
Yamada,42,JP,1584072830,49,39.47,39.47,53.76,18.9
Taoudenni,48,ML,1584072662,15,22.68,22.68,65.86,6.49
Yaan,94,NG,1584072830,30,7.38,7.38,79.34,4.72
Cabo San Lucas,5,MX,1584072537,73,22.89,22.89,77.0,18.34
Cauquenes,44,CL,1584072830,94,-35.97,-35.97,53.62,1.48
Aste,100,IT,1584072831,82,45.79,45.79,55.4,4.7
Havøysund,100,NO,1584072699,75,71.0,71.0,17.78,19.33
Troitskoye,0,RU,1584072831,79,52.98,52.98,23.4,2.21
Airai,4,TL,1584072677,56,-8.93,-8.93,79.99,6.31
Say,0,NE,1584072831,9,13.1,13.1,80.6,13.87
Barrow,90,US,1584072638,92,71.29,71.29,19.4,40.26
Prince Rupert,75,CA,1584072612,69,54.32,54.32,32.0,5.82
Castro,0,BR,1584072684,90,-24.79,-24.79,62.55,5.19
Okhotsk,98,RU,1584072832,75,59.38,59.38,5.14,8.01
Hay River,20,CA,1584072709,63,60.82,60.82,-9.4,9.17
Kyzyl-Suu,0,KG,1584072832,55,42.34,42.34,33.08,3.33
Khandyga,83,RU,1584072832,87,62.67,62.67,-7.78,2.19
Egvekinot,100,RU,1584072832,98,66.32,66.32,30.81,27.54
Seoul,20,KR,1584072832,24,37.57,37.57,50.0,8.05
Hasaki,75,JP,1584072672,42,35.73,35.73,64.4,11.41
Avera,1,US,1584072631,88,33.19,33.19,70.0,3.36
Nago,75,JP,1584072832,82,26.59,26.59,68.0,10.29
Kaitangata,0,NZ,1584072648,75,-46.28,-46.28,54.36,7.67
Australind,81,AU,1584072833,29,-33.27,-33.27,81.0,14.97
Puerto Ayora,34,EC,1584072634,100,-0.74,-0.74,79.0,5.01
Porto-Novo,40,BJ,1584072833,89,6.5,6.5,84.2,9.17
Chichimila,0,MX,1584072833,80,20.62,20.62,70.81,4.14
Menongue,100,AO,1584072833,94,-14.66,-14.66,63.01,0.31
Churapcha,44,RU,1584072833,88,62.0,62.0,-6.34,6.42
Nara,75,JP,1584072833,76,34.69,34.69,62.01,2.24
Tiznit Province,0,MA,1584072665,38,29.58,29.58,58.73,3.65
Tuatapere,0,NZ,1584072674,72,-46.13,-46.13,61.0,5.99
São José de Ribamar,20,BR,1584072834,100,-2.56,-2.56,77.0,2.24
Upernavik,100,GL,1584072640,93,72.79,72.79,-15.95,3.58
Ahipara,91,NZ,1584072665,82,-35.17,-35.17,73.0,12.86
Tiksi,73,RU,1584072655,94,71.69,71.69,-18.4,3.78
Avarua,89,CK,1584072645,83,-21.21,-21.21,78.8,6.93
Turaif,90,SA,1584072817,82,31.67,31.67,55.4,25.28
Jiuquan,0,CN,1584072834,44,39.74,39.74,26.49,4.97
Sinnamary,79,GF,1584072834,75,5.38,5.38,79.92,16.55
Sobolevo,49,RU,1584072835,67,54.43,54.43,36.41,24.4
Kapoeta,29,SS,1584072835,43,4.77,4.77,85.17,7.61
Concordia,69,AR,1584072835,70,-31.39,-31.39,80.01,11.99
Gao,0,ML,1584072835,11,16.64,16.64,69.6,13.56
Norman Wells,20,CA,1584072640,69,65.28,65.28,-7.6,2.24
Riyadh,28,SA,1584072791,25,24.69,24.69,62.6,4.7
Tupik,59,RU,1584072835,72,54.43,54.43,17.01,13.15
Bandarbeyla,2,SO,1584072835,78,9.49,9.49,78.46,17.36
Yellowknife,90,CA,1584072654,69,62.46,62.46,-7.6,11.41
Klaksvík,100,FO,1584072656,74,62.23,62.23,30.2,8.05
Petropavlovsk-Kamchatskiy,20,RU,1584072689,63,53.05,53.05,32.0,6.71
Ouahigouya,0,BF,1584072836,10,13.58,13.58,77.05,9.86
Antofagasta,83,CL,1584072690,82,-23.65,-23.65,66.2,6.93
Plainview,90,US,1584072836,93,40.78,40.78,48.0,11.41
Tuktoyaktuk,75,CA,1584072639,74,69.45,69.45,-22.0,11.41
Uglovoye,0,UA,1584072837,79,44.82,44.82,50.04,10.11
Turbat,0,PK,1584072837,12,26.0,26.0,65.37,9.62
Oranjemund,4,NA,1584072836,93,-28.55,-28.55,60.15,1.45
Atuona,28,PF,1584072635,70,-9.8,-9.8,82.92,9.44
Cherskiy,100,RU,1584072647,91,68.75,68.75,-1.44,1.39
Khatanga,0,RU,1584072642,91,71.97,71.97,-23.51,9.64
Alice Springs,0,AU,1584072650,20,-23.7,-23.7,93.2,9.17
Nouadhibou,0,MR,1584072837,82,20.93,20.93,66.2,5.82
Penzance,25,GB,1584072838,75,50.12,50.12,46.99,19.46
Challans,75,FR,1584072838,93,46.84,46.84,41.0,9.64
East London,81,ZA,1584072645,100,-33.02,-33.02,69.8,4.7
Kailua,90,US,1584072721,100,21.4,21.4,78.8,4.7
Havre-St-Pierre,1,CA,1584072839,65,50.23,50.23,8.6,6.93
Sagone,100,FR,1584072839,93,42.12,42.12,55.4,5.82
Kimbe,32,PG,1584072840,81,-5.55,-5.55,82.6,8.88
Isla Vista,75,US,1584072812,87,34.41,34.41,57.2,3.36
Bethel,90,US,1584072664,87,41.37,41.37,46.0,14.99
Nantucket,90,US,1584072674,81,41.28,41.28,44.01,14.99
Provideniya,90,RU,1584072663,97,64.38,64.38,32.0,35.79
Lashio,0,MM,1584072840,27,22.93,22.93,85.19,2.24
Brae,100,GB,1584072840,55,60.4,60.4,35.6,20.8
Erenhot,0,CN,1584072840,21,43.65,43.65,30.51,24.07
Amuntai,84,ID,1584072840,62,-2.42,-2.42,88.54,4.36
Vostok,100,RU,1584072687,90,46.49,46.49,10.56,17.6
Sandomierz,81,PL,1584072841,93,50.68,50.68,43.0,5.82
Hong Kong,20,HK,1584072609,69,22.29,22.29,80.6,9.17
Ningxiang,100,CN,1584072841,26,37.34,37.34,39.38,12.77
Rāth,0,IN,1584072841,23,25.58,25.58,74.05,6.98
Khovd,0,MN,1584072841,39,48.01,48.01,18.23,2.82
Sangar,100,RU,1584072702,88,63.92,63.92,-6.79,14.16
Grindavik,90,IS,1584072842,92,63.84,63.84,26.6,16.11
Saint-Philippe,90,RE,1584072636,94,-21.36,-21.36,78.8,21.92
Sorong,23,ID,1584072842,92,-0.88,-0.88,82.36,4.41
Ust'-Uda,100,RU,1584072842,92,54.17,54.17,28.26,13.13
Camacupa,100,AO,1584072842,97,-12.02,-12.02,64.67,2.35
Bahía Honda,0,CU,1584072842,83,22.9,22.9,71.91,9.78
Sisimiut,34,GL,1584072842,84,66.94,66.94,-4.94,6.46
Saint-Louis,0,SN,1584072843,29,16.33,16.33,77.0,2.24
Tanhaçu,100,BR,1584072843,91,-14.02,-14.02,70.16,1.88
Burnie,100,AU,1584072843,87,-41.07,-41.07,61.0,11.99
Buritis,100,BR,1584072843,97,-15.62,-15.62,67.77,1.61
Vao,75,NC,1584072843,76,-22.67,-22.67,81.1,6.91
Constitución,34,CL,1584072843,94,-35.33,-35.33,56.93,4.61
Karlskrona,47,SE,1584072843,86,56.16,56.16,39.2,10.29
Katherine,0,AU,1584072843,41,-14.47,-14.47,96.8,4.7
Lüderitz,0,NA,1584072659,82,-26.65,-26.65,64.4,12.75
Saint-Augustin,27,CA,1584072654,80,51.23,51.23,7.0,11.52
Ellisras,0,ZA,1584072844,85,-23.66,-23.66,65.46,9.75
Nova Olímpia,100,BR,1584072844,95,-14.8,-14.8,74.26,3.2
Bambous Virieux,75,MU,1584072675,100,-20.34,-20.34,78.01,6.93
Port Hardy,75,CA,1584072577,74,50.7,50.7,37.4,4.7
Aginskoye,0,RU,1584072844,70,51.1,51.1,24.42,21.14
Beloha,0,MG,1584072844,83,-25.17,-25.17,70.54,9.24
Taber,75,CA,1584072844,85,49.82,49.82,26.01,9.17
Golynki,97,RU,1584072845,75,54.87,54.87,36.05,27.49
Westport,90,US,1584072660,87,41.14,41.14,46.99,14.99
Japura,0,ID,1584072845,61,-0.32,-0.32,89.31,2.01
Carndonagh,12,IE,1584072845,90,55.25,55.25,34.66,3.49
Sur,100,OM,1584072677,36,22.57,22.57,67.32,2.46
Port Augusta,90,AU,1584072845,73,-32.5,-32.5,81.0,21.92
Kavieng,0,PG,1584072661,72,-2.57,-2.57,84.72,10.18
Río Gallegos,90,AR,1584072845,81,-51.62,-51.62,53.6,3.36
San Cristobal,40,VE,1584072348,78,7.77,7.77,78.8,2.24
Maningrida,100,AU,1584072846,69,-12.07,-12.07,86.97,8.21
Mayo,90,US,1584072706,81,38.89,38.89,53.01,4.7
Komsomolets,59,KZ,1584072846,88,53.75,53.75,33.19,16.28
Hobart,75,AU,1584072506,87,-42.88,-42.88,62.01,8.05
Xai-Xai,0,MZ,1584072846,96,-25.05,-25.05,70.79,2.01
Brora,75,GB,1584072846,86,58.01,58.01,39.99,8.05
Vardø,100,NO,1584072681,86,70.37,70.37,23.56,30.69
Mahabalipuram,40,IN,1584072847,78,12.63,12.63,84.99,4.7
Buraidah,20,SA,1584072847,36,26.33,26.33,60.8,5.82
Bela Vista,0,BR,1584072847,65,-22.11,-22.11,78.37,5.73
Karakol,0,KG,1584072847,55,42.49,42.49,30.76,1.7
Tigil',100,RU,1584072847,78,57.8,57.8,19.0,31.61
Urdoma,95,RU,1584072847,88,61.75,61.75,33.67,11.68
Coyhaique,20,CL,1584072668,93,-45.58,-45.58,53.6,6.93
Makkah al Mukarramah,75,SA,1584072847,76,21.43,21.43,72.84,6.69
Goderich,100,CA,1584072601,87,43.75,43.75,43.0,7.0
Āsosa,40,ET,1584072848,38,10.07,10.07,73.13,1.63
Severnyy,96,RU,1584072848,61,50.68,50.68,48.2,15.66
Arraial do Cabo,0,BR,1584072634,82,-22.97,-22.97,76.84,12.77
Pontes e Lacerda,100,BR,1584072848,93,-15.23,-15.23,73.53,1.48
Mossamedes,39,AO,1584072646,81,-15.2,-15.2,75.47,8.93
Teya,100,RU,1584072848,88,60.38,60.38,31.42,9.19
Saint-Pierre,90,RE,1584072660,94,-21.34,-21.34,78.8,21.92
Klamath Falls,1,US,1584072586,28,42.22,42.22,46.99,5.82
Puerto Madryn,15,AR,1584072789,51,-42.77,-42.77,64.17,3.76
Tegul'det,100,RU,1584072849,93,57.31,57.31,33.66,11.05
Saldanha,9,ZA,1584072678,93,-33.01,-33.01,62.6,6.93
Najrān,0,SA,1584072707,35,17.49,17.49,55.4,2.24
Lasem,100,ID,1584072849,74,-6.69,-6.69,82.44,2.51
Aden,89,YE,1584072559,65,12.78,12.78,74.03,19.75
Ayan,0,RU,1584072849,61,56.45,56.45,2.23,16.62
Marzuq,58,YE,1584072643,50,14.4,14.4,54.48,2.04
Port-Gentil,100,GA,1584072849,71,-0.72,-0.72,82.89,5.55
Tiarei,40,PF,1584072850,70,-17.53,-17.53,86.0,4.7
Batagay-Alyta,86,RU,1584072850,81,67.8,67.8,-18.98,1.99
Dikson,100,RU,1584072640,84,73.51,73.51,3.0,31.79
Gouyave,20,GD,1584072850,78,12.16,12.16,78.8,11.41
Alofi,100,NU,1584072526,77,-19.06,-19.06,83.46,17.58
Jasper,1,US,1584072774,66,37.2,37.2,55.99,11.41
Shelburne,75,CA,1584072850,80,44.08,44.08,41.0,8.05
Barão de Melgaço,40,BR,1584072850,78,-16.19,-16.19,80.6,3.36
Mēga,100,ET,1584072851,48,4.05,4.05,68.31,6.85
Puerto Escondido,1,MX,1584072851,87,15.85,15.85,69.89,2.26
Kieta,60,PG,1584072851,76,-6.22,-6.22,84.9,21.59
Nelson Bay,40,AU,1584072851,53,-32.72,-32.72,80.01,8.05
Omboué,100,GA,1584072851,92,-1.57,-1.57,75.81,1.34
Olafsvik,100,IS,1584072638,79,64.89,64.89,25.77,16.6
Taksimo,85,RU,1584072851,66,56.34,56.34,19.51,13.58
Waingapu,0,ID,1584072676,69,-9.66,-9.66,83.91,1.07
Kushiro,75,JP,1584072852,84,42.98,42.98,39.2,18.34
Neftekumsk,0,RU,1584072852,72,44.67,44.67,45.88,2.19
Huambo,100,AO,1584072852,93,-12.78,-12.78,62.92,1.68
Aldan,100,RU,1584072852,89,58.6,58.6,8.13,9.64
Poum,98,NC,1584072647,81,-20.23,-20.23,82.85,14.03
Salalah,20,OM,1584072659,73,17.02,17.02,71.6,5.82
Seydi,97,TM,1584072853,49,39.48,39.48,51.4,8.43
College,90,US,1584072634,72,64.86,64.86,10.99,4.7
Bay Roberts,90,CA,1584072704,79,47.6,47.6,27.0,13.87
Hirara,20,JP,1584072853,78,24.8,24.8,77.0,10.29
Los Llanos de Aridane,75,ES,1584072674,72,28.66,28.66,68.0,11.41
Preston,40,GB,1584072853,81,53.77,53.77,46.0,23.04
Russell,1,US,1584072853,72,32.35,32.35,69.8,10.29
Xinzhi,44,CN,1584072853,25,36.5,36.5,45.16,13.76
Voh,91,NC,1584072708,71,-20.97,-20.97,83.3,10.33
Vila Franca do Campo,20,PT,1584072854,87,37.72,37.72,57.2,8.05
San Miguel,98,SV,1584072854,66,13.48,13.48,84.2,6.93
Kulhudhuffushi,13,MV,1584072701,67,6.62,6.62,84.36,11.68
Lorengau,32,PG,1584072667,72,-2.02,-2.02,84.79,13.91
Orneta,18,PL,1584072854,80,54.11,54.11,36.12,15.19
Videira,2,BR,1584072854,72,-27.01,-27.01,61.02,2.68
Nhulunbuy,75,AU,1584072854,70,-12.23,-12.23,89.6,12.75
Palekastro,100,GR,1584072854,77,35.2,35.2,61.02,30.85
Sumenep,53,ID,1584072855,64,-7.02,-7.02,86.59,2.98
Bentiu,100,SS,1584072855,43,9.23,9.23,83.25,3.33
Lagoa,0,PT,1584072701,67,39.05,39.05,59.56,9.53
Ust-Tsilma,100,RU,1584072663,90,65.44,65.44,31.24,9.26
Chai Badan,0,TH,1584072855,53,15.2,15.2,97.0,5.01
Namatanai,0,PG,1584072670,73,-3.67,-3.67,84.97,17.63
De-Kastri,100,RU,1584072725,91,51.47,51.47,21.07,8.3
Savinka,11,RU,1584072855,82,50.08,50.08,39.24,11.77
Iskateley,100,RU,1584072855,97,67.68,67.68,32.02,19.15
Qiongshan,0,CN,1584072856,58,20.01,20.01,87.8,2.24
Rome,90,US,1584072856,65,43.21,43.21,48.99,11.41
Harper,42,LR,1584072856,93,4.38,4.38,78.51,4.14
Narsaq,0,GL,1584072690,47,60.92,60.92,15.8,6.93
Kostomuksha,94,RU,1584072856,97,64.57,64.57,30.4,5.48
Broome,90,US,1584072703,81,42.25,42.25,46.99,17.22
Muravlenko,100,RU,1584072687,99,63.79,63.79,35.33,25.77
Half Moon Bay,5,US,1584072683,48,37.46,37.46,64.0,5.82
Bathsheba,40,BB,1584072660,73,13.22,13.22,77.0,18.34
Thompson,90,CA,1584072649,71,55.74,55.74,6.8,20.8
Waiouru,0,NZ,1584072857,36,-39.48,-39.48,68.13,5.35
Mehamn,100,NO,1584072683,79,71.04,71.04,16.59,19.98
Alyangula,0,AU,1584072652,59,-13.85,-13.85,89.6,9.17
Cam Ranh,20,VN,1584072857,66,11.92,11.92,87.8,6.93
Asilah,75,MA,1584072857,100,35.47,35.47,59.0,2.24
Moose Factory,90,CA,1584072705,80,51.26,51.26,35.6,9.17
Forsytheganj,0,BY,1584072857,63,52.63,52.63,38.53,16.46
Ribeira Brava,40,PT,1584072858,72,32.65,32.65,62.6,16.11
Calama,94,CL,1584072815,51,-22.47,-22.47,59.0,4.7
Ubari,0,LY,1584072858,56,26.59,26.59,45.88,3.4
Kahului,20,US,1584072732,65,20.89,20.89,77.0,4.7
Wonthaggi,100,AU,1584072858,60,-38.6,-38.6,82.0,8.99
Kloulklubed,75,PW,1584072858,70,7.04,7.04,86.0,13.87
Kruisfontein,0,ZA,1584072657,93,-34.0,-34.0,64.74,1.59
Cuenca,100,EC,1584072858,93,-2.88,-2.88,57.2,4.7
Udachny,75,RU,1584072859,62,66.42,66.42,-14.8,13.42
Erzin,75,TR,1584072859,52,36.96,36.96,64.99,17.22
Lawrence,1,US,1584072768,65,38.97,38.97,48.2,12.75
Ouallam,0,NE,1584072859,13,14.32,14.32,72.86,15.73
Kandrian,10,PG,1584072859,63,-6.22,-6.22,86.74,15.82
Asău,100,RO,1584072649,87,46.43,46.43,48.0,5.82
Santa Isabel Rio Negro,78,BR,1584072859,91,-0.41,-0.41,75.67,1.48
Kikwit,99,CD,1584072859,95,-5.04,-5.04,70.39,1.52
Quatre Cocos,75,MU,1584072859,100,-20.21,-20.21,78.01,10.29
Nizwá,90,OM,1584072860,32,22.93,22.93,60.71,1.25
Puerto Nariño,40,CO,1584072860,100,-3.77,-3.77,77.0,1.34
Barranca,6,PE,1584072860,90,-10.75,-10.75,73.87,7.27
Urucará,86,BR,1584072860,86,-2.54,-2.54,76.55,3.18
Ust-Maya,96,RU,1584072654,90,60.42,60.42,-5.8,2.77
Zhalantun,100,CN,1584072860,66,48.0,48.0,25.75,13.6
Calvinia,0,ZA,1584072860,45,-31.47,-31.47,57.9,2.64
Sittwe,0,MM,1584072860,56,20.15,20.15,79.83,1.05
Boulsa,0,BF,1584072861,12,12.67,12.67,75.22,9.48
Semey,0,KZ,1584072861,78,50.41,50.41,10.4,8.95
Yamoussoukro,5,CI,1584072861,88,6.82,6.82,80.01,5.99
Esim,55,GH,1584072705,94,4.87,4.87,77.83,4.03
Zelenogorskiy,20,RU,1584072861,53,55.03,55.03,26.6,11.18
Oddur,99,SO,1584072657,95,4.12,4.12,69.53,14.23
Ancud,75,CL,1584072662,100,-41.87,-41.87,55.4,6.93
Port Hedland,18,AU,1584072698,55,-20.32,-20.32,91.4,10.29
Chimbote,65,PE,1584072861,66,-9.09,-9.09,76.12,5.06
Gigmoto,5,PH,1584072862,72,13.78,13.78,81.73,10.87
Bambanglipuro,100,ID,1584072862,83,-7.95,-7.95,80.91,7.81
Gushikawa,75,JP,1584072862,82,26.35,26.35,68.0,10.29
Talnakh,100,RU,1584072706,84,69.49,69.49,5.0,35.79
Uruguaiana,2,BR,1584072862,69,-29.75,-29.75,78.8,5.82
Ibanda,20,TZ,1584072862,94,-2.8,-2.8,69.8,4.21
San Angelo,1,US,1584072825,73,31.46,31.46,70.0,4.7
Lucapa,95,AO,1584072863,98,-8.42,-8.42,66.36,2.71
Sladkovo,0,RU,1584072863,79,55.53,55.53,24.08,13.85
Tipp City,90,US,1584072863,100,39.96,39.96,60.01,10.29
Faanui,96,PF,1584072658,72,-16.48,-16.48,83.5,9.69
Nurota,82,UZ,1584072699,75,40.56,40.56,42.8,9.17
Sitka,1,US,1584072703,42,57.05,57.05,28.4,9.17
Kandara,0,IN,1584072863,29,25.72,25.72,63.9,7.9
Husavik,90,IS,1584072648,92,66.04,66.04,19.4,143.84
Lagos,20,NG,1584072864,94,6.58,6.58,80.6,2.24
Molina,90,CL,1584072864,56,-35.12,-35.12,68.0,5.82
Aklavik,40,CA,1584072668,63,68.22,68.22,-7.6,11.41
Aksu,100,CN,1584072864,29,41.12,41.12,40.95,6.91
Villa Carlos Paz,0,AR,1584072864,94,-31.42,-31.42,73.0,6.93
Yeniseysk,100,RU,1584072864,98,58.45,58.45,32.79,6.91
Beaverlodge,75,CA,1584072865,65,55.22,55.22,5.0,10.29
Paamiut,29,GL,1584072637,70,61.99,61.99,5.7,6.82
Papara,75,BR,1584072865,88,-3.98,-3.98,75.2,1.12
Hofn,100,IS,1584072678,94,64.25,64.25,32.67,19.46
Te Anau,0,NZ,1584072674,49,-45.42,-45.42,62.87,5.12
Cantagallo,67,CO,1584072865,83,7.38,7.38,76.6,2.89
Dongsheng,0,CN,1584072865,19,39.82,39.82,28.38,13.82
Ürümqi,73,CN,1584072866,59,43.8,43.8,33.8,4.47
Chui,0,UY,1584072632,95,-33.7,-33.7,68.99,5.57
